Monthyear,Species,Cap,MonthName,NH,Rate
April 1996,BUSH,12,April,1257.5,9.54
April 1996,CALT,1,April,1257.5,0.80
April 1996,COYE,40,April,1257.5,31.81
April 1996,FOSP,3,April,1257.5,2.39
April 1996,HETH,21,April,1257.5,16.70
April 1996,RCKI,2,April,1257.5,1.59
April 1996,SOSP,34,April,1257.5,27.04
April 1996,SWTH,2,April,1257.5,1.59
April 1996,WEFL,3,April,1257.5,2.39
April 1996,WIWA,10,April,1257.5,7.95
April 1997,BEWR,2,April,1310,1.53
April 1997,BUSH,9,April,1310,6.87
April 1997,CALT,3,April,1310,2.29
April 1997,COYE,48,April,1310,36.64
April 1997,FOSP,13,April,1310,9.92
April 1997,HETH,33,April,1310,25.19
April 1997,RCKI,4,April,1310,3.05
April 1997,SOSP,32,April,1310,24.43
April 1997,SWTH,1,April,1310,0.76
April 1997,WEFL,7,April,1310,5.34
April 1997,WIWA,12,April,1310,9.16
April 1998,BUSH,6,April,1228.5,4.88
April 1998,CALT,2,April,1228.5,1.63
April 1998,COYE,31,April,1228.5,25.23
April 1998,FOSP,10,April,1228.5,8.14
April 1998,HETH,68,April,1228.5,55.35
April 1998,RCKI,5,April,1228.5,4.07
April 1998,SOSP,22,April,1228.5,17.91
April 1998,SWTH,4,April,1228.5,3.26
April 1998,WEFL,9,April,1228.5,7.33
April 1998,WIWA,20,April,1228.5,16.28
April 2000,BUSH,12,April,1115,10.76
April 2000,CALT,1,April,1115,0.90
April 2000,COYE,32,April,1115,28.70
April 2000,FOSP,7,April,1115,6.28
April 2000,HETH,36,April,1115,32.29
April 2000,RCKI,1,April,1115,0.90
April 2000,SOSP,36,April,1115,32.29
April 2000,SWTH,2,April,1115,1.79
April 2000,WIWA,11,April,1115,9.87
April 2001,BUSH,13,April,970,13.40
April 2001,CALT,1,April,970,1.03
April 2001,COYE,42,April,970,43.30
April 2001,FOSP,16,April,970,16.49
April 2001,HETH,45,April,970,46.39
April 2001,RCKI,1,April,970,1.03
April 2001,SOSP,30,April,970,30.93
April 2001,SWTH,1,April,970,1.03
April 2001,WEFL,1,April,970,1.03
April 2001,WIWA,19,April,970,19.59
April 2002,BEWR,2,April,893.6666665,2.24
April 2002,BUSH,30,April,893.6666665,33.57
April 2002,COYE,24,April,893.6666665,26.86
April 2002,FOSP,18,April,893.6666665,20.14
April 2002,HETH,45,April,893.6666665,50.35
