MonthName,Month,BEWR,BUSH,CALT,COYE,FOSP,HETH,RCKI,SOSP,SWTH,WEFL,WIWA
January,1,7.36,24.20,2.59,3.97,23.57,28.67,29.52,22.34,0.00,1.24,1.14
February,2,7.28,16.85,3.62,6.29,18.42,29.45,15.70,21.61,0.00,0.00,1.12
March,3,6.58,13.38,4.27,18.81,19.40,34.21,8.85,24.76,0.00,1.45,1.88
April,4,5.68,12.22,3.59,32.52,9.93,31.31,1.95,34.28,2.10,4.06,9.95
May,5,9.50,22.36,2.63,29.69,1.05,2.45,1.01,82.18,84.66,7.55,38.49
June,6,13.19,26.10,2.69,39.85,0.00,0.95,0.00,97.79,5.66,2.81,2.35
July,7,10.61,21.99,3.18,25.00,0.00,0.95,0.00,51.46,1.41,5.32,2.39
August,8,5.01,13.83,2.33,39.12,0.00,0.84,0.00,47.84,1.61,51.71,3.54
September,9,6.96,17.09,3.40,37.88,15.36,11.52,1.39,40.09,11.24,126.83,11.03
October,10,7.26,15.81,2.47,15.06,53.30,75.04,17.41,30.79,5.70,22.52,3.35
November,11,6.58,17.83,2.65,4.96,38.13,38.48,36.62,24.89,1.23,1.63,1.14
December,12,7.33,26.57,3.05,6.75,24.87,30.13,43.05,24.66,0.00,1.20,0.00
