"CAINC30 Economic Profile"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"06001","Alameda, CA","","Place of residence profile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06001","Alameda, CA","10","Personal income (thousands of dollars)",4991979,5413615,5748044,6256221,6646967,7316446,8047585,8852592,9627922,10741959,11895501,13389159,15070912,16080360,17483059,19467458,21038021,22275177,23589473,25589904,27673644,29593225,30549152,32127626,33130062,34167648,36266947,38887009,41495774,45378778,49341526,56749879,57883887,57403375,58552726,60680616,62842982,67687599,70402298,72292294,69419699,72841206,78506666,82974225,87682827,95048412,104433425,111506378,118655307,127746433
"06001","Alameda, CA","","Derivation of personal income","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06001","Alameda, CA","45","  Net earnings by place of residence",3795361,4031361,4219248,4601927,4855536,5266662,5685835,6297683,6868524,7709679,8506881,9392606,10262415,10851713,11814615,13196738,14415080,15385411,16550779,18005246,19171278,20721870,21429755,22449633,22991589,23616646,25045193,26936820,29167727,32233535,35769369,42211609,42992163,42117578,42434929,43911362,45256915,48270622,50239384,50093309,47816294,50263858,54267123,57371110,60723864,65283441,71939252,77368342,83232111,89796932
"06001","Alameda, CA","50","  Personal current transfer receipts",416209,510357,583454,617604,673476,786884,984161,1074402,1135203,1222400,1343769,1540718,1785634,1925261,2047610,2103991,2239501,2379822,2464055,2642236,2905787,3177381,3455765,3941121,4130766,4195968,4370460,4546949,4528468,4797447,5005607,5142997,5677521,6183698,6478059,6720821,6981942,7483980,7900367,8908712,9946667,11035174,10992190,11026364,11539123,12282312,13285983,13711216,13340686,14056357
"06001","Alameda, CA","60","    Income maintenance benefits 1/",77572,106831,122732,123397,119386,142788,163137,181257,202117,215897,239508,292319,316244,327445,345652,359366,373916,396191,430098,484087,549838,614451,678200,732642,755245,793663,820811,811330,743796,752218,787231,785230,764888,795248,829312,881636,931132,997538,1027318,1061171,1156464,1188893,1224965,1242966,1264841,1259128,1242574,1175593,1134190,1098673
"06001","Alameda, CA","70","    Unemployment insurance compensation",24426,39027,51867,51964,42251,56721,116643,115286,86739,64895,54276,84801,89320,143521,153571,98391,90296,93993,74481,67200,64300,70542,112232,177522,186040,126354,106832,95403,85464,81701,80480,84815,139485,429062,412171,253580,209674,181132,181490,325527,899016,1012972,772283,582087,437656,232419,193847,193199,193097,169453
"06001","Alameda, CA","80","    Retirement and other",314211,364499,408855,442243,511839,587375,704381,777859,846347,941608,1049985,1163598,1380070,1454295,1548387,1646234,1775289,1889638,1959476,2090949,2291649,2492388,2665333,3030957,3189481,3275951,3442817,3640216,3699208,3963528,4137896,4272952,4773148,4959388,5236576,5585605,5841136,6305310,6691559,7522014,7891187,8833309,8994942,9201311,9836626,10790765,11849562,12342424,12013399,12788231
"06001","Alameda, CA","90","  Dividends, interest, and rent 2/",780409,871897,945342,1036690,1117955,1262900,1377589,1480507,1624195,1809880,2044851,2455835,3022863,3303386,3620834,4166729,4383440,4509944,4574639,4942422,5596579,5693974,5663632,5736872,6007707,6355034,6851294,7403240,7799579,8347796,8566550,9395273,9214203,9102099,9639738,10048433,10604125,11932997,12262547,13290273,11656738,11542174,13247353,14576751,15419840,17482659,19208190,20426820,22082510,23893144
"06001","Alameda, CA","100","  Population (persons) 3/",1060099,1073505,1084483,1099590,1089330,1092233,1090869,1098146,1099851,1103717,1099272,1109931,1125950,1140269,1160694,1179132,1197401,1215506,1229319,1251100,1271443,1306166,1318543,1332208,1339189,1341707,1346548,1359099,1380383,1405903,1427114,1449840,1469484,1462106,1454163,1445721,1441545,1444484,1455715,1477208,1498539,1513043,1530998,1554138,1580247,1608674,1634634,1650306,1658131,1666753
"06001","Alameda, CA","","Per capita incomes (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06001","Alameda, CA","110","  Per capita personal income 4/",4709,5043,5300,5690,6102,6699,7377,8061,8754,9733,10821,12063,13385,14102,15063,16510,17570,18326,19189,20454,21766,22657,23169,24116,24739,25466,26933,28612,30061,32277,34574,39142,39391,39261,40266,41973,43594,46859,48363,48938,46325,48142,51278,53389,55487,59085,63888,67567,71560,76644
"06001","Alameda, CA","120","  Per capita net earnings 4/",3580,3755,3891,4185,4457,4822,5212,5735,6245,6985,7739,8462,9114,9517,10179,11192,12039,12658,13463,14392,15078,15865,16253,16851,17168,17602,18600,19820,21130,22927,25064,29115,29257,28806,29182,30373,31395,33417,34512,33911,31909,33220,35446,36915,38427,40582,44009,46881,50196,53875
"06001","Alameda, CA","130","  Per capita personal current transfer receipts 4/",393,475,538,562,618,720,902,978,1032,1108,1222,1388,1586,1688,1764,1784,1870,1958,2004,2112,2285,2433,2621,2958,3085,3127,3246,3346,3281,3412,3508,3547,3864,4229,4455,4649,4843,5181,5427,6031,6638,7293,7180,7095,7302,7635,8128,8308,8046,8433
"06001","Alameda, CA","140","    Per capita income maintenance benefits 4/",73,100,113,112,110,131,150,165,184,196,218,263,281,287,298,305,312,326,350,387,432,470,514,550,564,592,610,597,539,535,552,542,521,544,570,610,646,691,706,718,772,786,800,800,800,783,760,712,684,659
"06001","Alameda, CA","150","    Per capita unemployment insurance compensation 4/",23,36,48,47,39,52,107,105,79,59,49,76,79,126,132,83,75,77,61,54,51,54,85,133,139,94,79,70,62,58,56,58,95,293,283,175,145,125,125,220,600,669,504,375,277,144,119,117,116,102
"06001","Alameda, CA","160","    Per capita retirement and other 4/",296,340,377,402,470,538,646,708,770,853,955,1048,1226,1275,1334,1396,1483,1555,1594,1671,1802,1908,2021,2275,2382,2442,2557,2678,2680,2819,2899,2947,3248,3392,3601,3864,4052,4365,4597,5092,5266,5838,5875,5921,6225,6708,7249,7479,7245,7673
"06001","Alameda, CA","170","  Per capita dividends, interest, and rent 4/",736,812,872,943,1026,1156,1263,1348,1477,1640,1860,2213,2685,2897,3120,3534,3661,3710,3721,3950,4402,4359,4295,4306,4486,4737,5088,5447,5650,5938,6003,6480,6270,6225,6629,6950,7356,8261,8424,8997,7779,7628,8653,9379,9758,10868,11751,12378,13318,14335
"06001","Alameda, CA","","Place of work profile (thousands of dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06001","Alameda, CA","180","  Earnings by place of work",4278404,4529781,4769709,5254350,5574649,6062204,6476745,7210329,7902554,8929023,9894593,10831059,11862234,12329678,13370222,15014901,16276714,17431986,18622122,20307128,21636392,23046500,24420631,25924069,26663916,27510458,29506789,31126179,32946535,36272942,39323789,44704836,47307005,48077053,49510629,51614035,53334686,56406069,57985416,57863785,55304063,57638246,59933242,63666228,65950456,70314948,76902257,81172219,86417179,90615648
"06001","Alameda, CA","190","    Wages and salaries",3440100,3663417,3831383,4179350,4445473,4824858,5097823,5617886,6150233,6937964,7668327,8431405,9250313,9570211,10258749,11428753,12366468,13148076,13927596,15152727,16247227,17401577,18288534,19087347,19536118,20198386,21678558,22883860,24627356,26871644,29247146,33376009,34559258,34454037,35404855,36909178,38445151,40886782,42812905,43088156,40670872,41382036,42548714,45342884,46651625,49975941,54633653,57543882,61819270,64982979
"06001","Alameda, CA","200","    Supplements to wages and salaries",457139,498145,550480,639583,662679,732646,824092,919357,1056777,1204245,1366773,1508669,1720558,1830544,2069782,2325392,2552696,2766594,2911391,3217777,3554888,3839487,4135219,4629934,4835659,4890334,4871994,4953310,5160715,5582722,6010150,6784381,7378107,7830875,8516546,9177404,9517212,9624475,9798460,9761688,9294329,9538575,10181045,10350243,11204280,11710453,12578411,13037547,13844532,14467543
"06001","Alameda, CA","201","      Employer contributions for employee pension and insurance funds 5/",322681,356019,395459,454810,435314,478334,557557,608119,708093,792706,892013,991317,1119827,1202948,1364692,1491661,1658061,1811522,1918124,2103354,2370071,2581856,2791527,3209180,3373994,3383789,3304057,3352212,3451355,3737105,3995643,4482793,4865765,5269249,5784513,6199923,6480228,6603982,6791870,6756815,6457572,6697020,7217745,7204029,7950726,8263010,8861475,9163945,9710803,10168445
"06001","Alameda, CA","202","      Employer contributions for government social insurance",134458,142126,155021,184773,227365,254312,266535,311238,348684,411539,474760,517352,600731,627596,705090,833731,894635,955072,993267,1114423,1184817,1257631,1343692,1420754,1461665,1506545,1567937,1601098,1709360,1845617,2014507,2301588,2512342,2561626,2732033,2977481,3036984,3020493,3006590,3004873,2836757,2841555,2963300,3146214,3253554,3447443,3716936,3873602,4133729,4299098
"06001","Alameda, CA","210","    Proprietors' income",381165,368219,387846,435417,466497,504700,554830,673086,695544,786814,859493,890985,891363,928923,1041691,1260756,1357550,1517316,1783135,1936624,1834277,1805436,1996878,2206788,2292139,2421738,2956237,3289009,3158464,3818576,4066493,4544446,5369640,5792141,5589228,5527453,5372323,5894812,5374051,5013941,5338862,6717635,7203483,7973101,8094551,8628554,9690193,10590790,10753377,11165126
"06001","Alameda, CA","220","      Farm proprietors' income",10239,9328,7845,9592,13396,12031,8942,6047,2284,7981,12990,10746,8923,9271,5843,910,4978,10274,10502,12476,11506,6765,-3684,1199,1143,2873,-1095,-1607,4509,-104,6951,1322,8548,5583,14890,14701,14141,12687,3755,11133,11892,13330,25512,34274,31813,35196,40943,39707,39759,34759
"06001","Alameda, CA","230","      Nonfarm proprietors' income",370926,358891,380001,425825,453101,492669,545888,667039,693260,778833,846503,880239,882440,919652,1035848,1259846,1352572,1507042,1772633,1924148,1822771,1798671,2000562,2205589,2290996,2418865,2957332,3290616,3153955,3818680,4059542,4543124,5361092,5786558,5574338,5512752,5358182,5882125,5370296,5002808,5326970,6704305,7177971,7938827,8062738,8593358,9649250,10551083,10713618,11130367
"06001","Alameda, CA","240","Total employment (number of jobs)",497846,499789,489920,505369,515311,526165,519585,528450,540448,566305,587776,599620,602234,593482,606565,635992,659313,672722,691523,721752,737111,754274,756513,747608,751343,760449,789089,800408,811229,839948,859791,884138,887315,875474,878177,880210,885435,896623,910324,903624,864535,853954,865987,902625,933194,969977,1014255,1041541,1071919,1097804
"06001","Alameda, CA","250","  Wage and salary employment",445777,447098,438505,450669,457522,465928,458028,466503,477301,503584,520495,527188,530021,517512,526828,553770,571087,578846,589871,609740,626535,639586,629580,623436,624031,631913,653636,663204,673976,692225,712986,740172,740610,725714,719693,712328,713182,718931,721344,716163,673240,661573,666928,701982,725769,751589,784216,806538,826752,842464
