"CAINC45 Farm Income and Expenses"
"(Thousands of dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"06001","Alameda, CA","10","Cash receipts from marketings (thousands of dollars)",44089,40172,38325,40062,45360,48275,48037,49926,42541,49770,62853,60299,61954,65908,58342,55322,57730,60956,60012,62063,63942,60314,47707,50686,50794,50295,43978,40311,49238,37663,48603,42490,51704,44610,55930,56923,61968,59874,52609,59380,57711,57711,67355,71547,72957,80610,80686,81393,84230,81707
"06001","Alameda, CA","20","  Cash receipts: Livestock and products",7991,7252,6861,7078,8006,7497,7941,9926,6685,9359,15789,10780,10383,12897,10366,11346,11251,12674,13356,15750,13597,11681,9438,9276,14260,12254,11654,9574,14086,9051,12039,10892,9115,7439,12805,14109,17521,19218,16069,17339,11827,12475,16620,12037,13400,20593,29338,20435,20809,23306
"06001","Alameda, CA","60","  Cash receipts: Crops",36098,32920,31464,32984,37354,40778,40096,40000,35856,40411,47064,49519,51571,53011,47976,43976,46479,48282,46656,46313,50345,48633,38269,41410,36534,38041,32324,30737,35152,28612,36564,31598,42589,37171,43125,42814,44447,40656,36540,42041,45884,45236,50735,59510,59557,60017,51348,60958,63421,58401
"06001","Alameda, CA","120","Other income",565,521,484,612,671,740,894,1011,1070,1409,708,782,846,1389,1568,1971,1887,1868,2442,2710,2067,2110,1605,988,1384,1394,1497,2230,2513,6631,10403,10898,15233,15864,18012,19728,17615,20195,14562,20696,10558,9333,9796,11431,9971,8783,8650,8206,9608,6732
"06001","Alameda, CA","130","  Government payments",206,180,116,239,170,113,82,147,415,629,42,106,231,111,292,576,106,178,470,769,339,678,433,251,218,111,59,182,139,377,336,296,719,406,534,353,575,154,404,1289,659,1221,512,1041,602,778,650,1256,685,547
"06001","Alameda, CA","140","  Imputed and miscellaneous income received 1/",359,341,368,373,501,627,812,864,655,780,666,676,615,1278,1276,1395,1781,1690,1972,1941,1728,1432,1172,737,1166,1283,1438,2048,2374,6254,10067,10602,14514,15458,17478,19375,17040,20041,14158,19407,9899,8112,9284,10390,9369,8005,8000,6950,8923,6185
"06001","Alameda, CA","150","Production expenses",33928,31419,30669,30150,32542,36755,38506,40736,41232,42906,48661,50986,52703,56384,55010,56188,53793,50179,50384,51564,53168,54576,53330,49838,50491,48037,49299,46398,46912,45554,50540,51963,55834,53536,52854,53233,58614,61465,60345,62412,53184,50071,45699,43940,47738,51614,47817,47510,52657,52412
"06001","Alameda, CA","160","  Feed purchased",1693,1661,1689,1446,2066,2483,2525,2888,3065,3241,3892,4412,4505,3877,3975,3589,2848,2706,2278,2532,2590,2451,2204,2259,2471,2232,2331,2102,2252,2033,2150,2341,2176,2176,1834,2214,2229,2329,2890,3709,2853,3094,3504,3704,4163,3137,2716,2633,2284,2442
"06001","Alameda, CA","170","  Livestock purchased",2447,2250,2735,2517,3005,2527,2170,2205,2227,3429,4864,4284,4793,6494,5681,5597,4557,3929,3233,4330,3577,3161,2801,2688,4191,3431,2955,2128,3218,1534,1918,1675,1076,669,1204,1466,1817,2121,1484,1269,1015,1103,1223,719,762,1102,1833,1036,1349,1628
"06001","Alameda, CA","180","  Seed purchased",1308,1190,1158,1108,1323,1712,1720,1553,1369,1214,1211,1213,1140,947,863,1164,1147,1239,1337,1422,1331,1191,1175,885,1056,1098,1394,1670,1913,2978,3888,4788,6412,7000,5856,4624,4236,3422,2350,2604,1552,1312,1176,1175,1280,1173,1342,1551,1906,1864
"06001","Alameda, CA","190","  Fertilizer and lime (incl. ag. chemicals 1978-fwd.)",973,891,890,925,956,1263,1509,1448,1394,1565,1648,1860,1776,1517,1405,1796,1649,1588,1665,1671,1726,1659,1742,1693,1666,1698,1872,1932,2064,1920,1898,1932,2108,1989,1989,1906,2269,2413,2190,3234,3270,3632,4469,5020,5662,7258,6091,6600,6467,6440
"06001","Alameda, CA","200","  Petroleum products purchased",789,772,768,742,811,1157,1915,2591,3197,3618,3638,4166,3671,2725,2612,2708,2478,2104,2030,1958,1929,2323,2213,1993,1756,1408,1236,1250,1095,896,961,1072,959,896,1196,1650,2650,3139,3761,3978,2296,2508,2328,2303,2196,2322,2064,2025,1822,2143
"06001","Alameda, CA","210","  Hired farm labor expenses 2/",13311,12176,11413,11231,11662,13611,14518,15110,14305,12345,13415,13908,13630,15738,15007,15280,15562,14150,14388,14979,15413,17339,16428,15141,14092,12507,12454,11774,10766,12620,15519,16782,18543,18484,19239,20418,22224,21580,22050,21018,18869,16547,12835,12689,13575,13875,13379,14219,17026,14725
"06001","Alameda, CA","220","  All other production expenses 3/",13407,12479,12016,12181,12719,14002,14149,14941,15675,17494,19993,21143,23188,25086,25467,26054,25552,24463,25453,24672,26602,26452,26767,25179,25259,25663,27057,25542,25604,23573,24206,23373,24560,22322,21536,20955,23189,26461,25620,26600,23329,21875,20164,18330,20100,22747,20392,19446,21803,23170
"06001","Alameda, CA","240","Value of inventory change",-374,194,-111,-575,849,310,-975,-3942,-4,111,-416,1125,950,-348,110,-6,189,-860,-421,295,12,-372,-26,39,-205,587,-301,82,1284,1006,-96,202,165,327,-150,755,623,-426,-63,-37,84,9,376,-289,-306,392,214,-330,832,55
"06001","Alameda, CA","250","  Value of inventory change: livestock",-344,263,-138,-563,849,354,-1022,-4013,-95,524,-451,862,926,-343,335,-151,202,-985,-386,169,11,-319,-170,207,-200,440,-219,-8,1290,876,-2,227,261,187,-192,741,172,155,-171,-472,-152,-3,454,-356,-162,-557,199,9,208,-205
"06001","Alameda, CA","260","  Value of inventory change: crops",-30,-69,27,-12,0,-44,47,71,91,-413,35,263,24,-5,-225,145,-13,125,-35,126,1,-53,190,-324,9,28,80,26,-37,93,8,-85,-36,3,-3,-6,-3,26,-22,26,-1,-43,59,11,-65,61,-105,-7,82,-64
"06001","Alameda, CA","265","  Value of inventory change: materials and supplies","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-46,156,-14,119,-162,64,31,37,-102,60,-60,137,45,20,454,-607,130,409,237,55,-137,56,-79,888,120,-332,542,324
"06001","Alameda, CA","","Derivation of farm proprietors' income and earnings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06001","Alameda, CA","270","Cash receipts and other income",44654,40693,38809,40674,46031,49015,48931,50937,43611,51179,63561,61081,62800,67297,59910,57293,59617,62824,62454,64773,66009,62424,49312,51674,52178,51689,45475,42541,51751,44294,59006,53388,66937,60474,73942,76651,79583,80069,67171,80076,68269,67044,77151,82978,82928,89393,89336,89599,93838,88439
"06001","Alameda, CA","280","  Less: Production expenses",33928,31419,30669,30150,32542,36755,38506,40736,41232,42906,48661,50986,52703,56384,55010,56188,53793,50179,50384,51564,53168,54576,53330,49838,50491,48037,49299,46398,46912,45554,50540,51963,55834,53536,52854,53233,58614,61465,60345,62412,53184,50071,45699,43940,47738,51614,47817,47510,52657,52412
"06001","Alameda, CA","290","Equals: Realized net income",10726,9274,8140,10524,13489,12260,10425,10201,2379,8273,14900,10095,10097,10913,4900,1105,5824,12645,12070,13209,12841,7848,-4018,1836,1687,3652,-3824,-3857,4839,-1260,8466,1425,11103,6938,21088,23418,20969,18604,6826,17664,15085,16973,31452,39038,35190,37779,41519,42089,41181,36027
"06001","Alameda, CA","300","  Plus: Value of inventory change",-374,194,-111,-575,849,310,-975,-3942,-4,111,-416,1125,950,-348,110,-6,189,-860,-421,295,12,-372,-26,39,-205,587,-301,82,1284,1006,-96,202,165,327,-150,755,623,-426,-63,-37,84,9,376,-289,-306,392,214,-330,832,55
"06001","Alameda, CA","310","Equals: Net income including corporate farms",10352,9468,8029,9949,14338,12570,9450,6259,2375,8384,14484,11220,11047,10565,5010,1099,6013,11785,11649,13504,12853,7476,-4044,1875,1482,4239,-4125,-3775,6123,-254,8370,1627,11268,7265,20938,24173,21592,18178,6763,17627,15169,16982,31828,38749,34884,38171,41733,41759,42013,36082
"06001","Alameda, CA","320","  Less: Net income of corporate farms",113,140,184,357,942,539,508,212,91,403,1494,474,2124,1294,-833,189,1035,1511,1147,1028,1347,711,-360,676,339,1366,-3030,-2168,1614,-150,1419,305,2720,1682,6048,9472,7451,5491,3008,6494,3277,3652,6316,4475,3071,2975,790,2052,2254,1323
"06001","Alameda, CA","330","  Plus: Statistical adjustment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06001","Alameda, CA","340","Equals: Farm proprietors' income",10239,9328,7845,9592,13396,12031,8942,6047,2284,7981,12990,10746,8923,9271,5843,910,4978,10274,10502,12476,11506,6765,-3684,1199,1143,2873,-1095,-1607,4509,-104,6951,1322,8548,5583,14890,14701,14141,12687,3755,11133,11892,13330,25512,34274,31813,35196,40943,39707,39759,34759
"06001","Alameda, CA","350","  Plus: Farm wages and salaries",11720,11054,10226,9986,10481,12269,12797,12913,11868,10309,17181,18336,17936,22733,21833,19644,18764,16303,15359,17779,18032,16788,18789,17730,16926,17384,17416,17469,16613,16376,11971,11368,11781,13612,11784,12247,18563,19606,17679,19218,16838,19746,15641,15052,17207,16078,11185,11681,16881,17249
"06001","Alameda, CA","360","  Plus: Farm supplements to wages and salaries",1291,1268,1298,1269,1422,1663,1821,2089,2243,1992,2548,2415,2171,2504,2318,2526,2367,2040,1967,2330,2908,2802,3822,3586,4134,3727,3802,3140,2747,2660,2441,2236,2337,2868,2674,2731,3618,3862,4083,4412,4059,4021,3591,3487,3961,3691,2637,3258,3787,4874
"06001","Alameda, CA","370","Equals: Farm earnings",23250,21650,19369,20847,25299,25963,23560,21049,16395,20282,32719,31497,29030,34508,29994,23080,26109,28617,27828,32585,32446,26355,18927,22515,22203,23984,20123,19002,23869,18932,21363,14926,22666,22063,29348,29679,36322,36155,25517,34763,32789,37097,44744,52813,52981,54965,54765,54646,60427,56882
"06085","Santa Clara, CA","10","Cash receipts from marketings (thousands of dollars)",86400,79507,80533,85517,101797,110389,117341,112101,118675,128942,139001,136797,123254,124885,123507,145730,146088,144900,152293,145456,150261,145961,137806,151542,172313,194233,213310,211546,242510,228193,226538,346712,297178,237108,238443,252367,249833,266143,279155,284031,321122,333664,318035,354683,362883,379349,415528,438868,451333,431382
"06085","Santa Clara, CA","20","  Cash receipts: Livestock and products",22984,22256,21534,22610,26854,28242,28613,29648,25122,25421,31492,30649,29171,32306,26775,37136,36048,29431,23525,27679,26985,19916,18327,18196,25644,23995,20970,22762,23557,20630,19561,20426,22981,23503,27420,22426,20366,15119,12270,10531,11670,11797,11729,12363,8877,9391,12181,7726,7899,6894
"06085","Santa Clara, CA","60","  Cash receipts: Crops",63416,57251,58999,62907,74943,82147,88728,82453,93553,103521,107509,106148,94083,92579,96732,108594,110040,115469,128768,117777,123276,126045,119479,133346,146669,170238,192340,188784,218953,207563,206977,326286,274197,213605,211023,229941,229467,251024,266885,273500,309452,321867,306306,342320,354006,369958,403347,431142,443434,424488
"06085","Santa Clara, CA","120","Other income",1064,1097,1262,1322,1751,2064,2456,2383,2021,1468,1103,1156,1004,1728,4287,8119,12151,18988,18719,18260,15843,12553,8709,4647,4246,3520,2866,3530,3050,4552,6527,6276,8645,8711,9692,10431,9933,10857,7864,14628,8168,9453,11493,10282,10015,10642,12442,11203,9524,9479
"06085","Santa Clara, CA","130","  Government payments",54,82,111,120,110,37,52,39,390,162,35,37,49,60,60,1346,239,5841,1001,1502,1244,1255,442,599,196,366,177,524,237,127,333,137,577,441,445,150,843,166,322,530,522,427,284,418,1280,973,910,435,734,584
